segment_id,start_lon,start_lat,end_lon,end_lat,material,diameter_m,length_m,zone_id,pipeline_type,data_quality_flag,assumed_age_years,design_lifespan_years,hw_c_value,start_node_id,end_node_id
0,75.923744,17.627838,75.924698,17.627572,CI,0.05,119.09351,zone_5,Distribution Pipeline,complete,35,50,100,8878,9023
1,75.888799,17.612729,75.88884,17.614019,GI,0.05,142.8699,zone_5,Distribution Pipeline,complete,30,40,100,1860,1861
2,75.88884,17.614019,75.888806,17.614447,GI,0.05,47.51451,zone_5,Distribution Pipeline,complete,30,40,100,1861,1862
3,75.888806,17.614447,75.888766,17.615011,GI,0.05,62.57573,zone_5,Distribution Pipeline,complete,30,40,100,1862,1863
4,75.888766,17.615011,75.888598,17.614985,GI,0.05,18.08229,zone_5,Distribution Pipeline,complete,30,40,100,1863,1830
5,75.888598,17.614985,75.888193,17.614971,GI,0.05,42.96229,zone_5,Distribution Pipeline,complete,30,40,100,1830,1766
6,75.888193,17.614971,75.887446,17.614967,GI,0.05,79.27675,zone_5,Distribution Pipeline,complete,30,40,100,1766,1632
7,75.887446,17.614967,75.887214,17.614953,GI,0.05,24.718,zone_5,Distribution Pipeline,complete,30,40,100,1632,1591
8,75.887214,17.614953,75.886703,17.614912,GI,0.05,54.40021,zone_5,Distribution Pipeline,complete,30,40,100,1591,1511
9,75.886703,17.614912,75.886555,17.614889,GI,0.05,15.91178,zone_5,Distribution Pipeline,complete,30,40,100,1511,1494
10,75.886555,17.614889,75.886034,17.614862,GI,0.05,55.34982,zone_5,Distribution Pipeline,complete,30,40,100,1494,1406
11,75.886034,17.614862,75.885607,17.614841,GI,0.05,45.38374,zone_5,Distribution Pipeline,complete,30,40,100,1406,1357
12,75.885607,17.614841,75.884836,17.614834,GI,0.05,81.90551,zone_5,Distribution Pipeline,complete,30,40,100,1357,1275
13,75.884836,17.614834,75.884413,17.61483,GI,0.05,44.81892,zone_5,Distribution Pipeline,complete,30,40,100,1275,1238
14,75.884413,17.61483,75.884402,17.615467,GI,0.05,70.54037,zone_5,Distribution Pipeline,complete,30,40,100,1238,1239
