segment_id,start_lon,start_lat,end_lon,end_lat,material,diameter_m,length_m,zone_id,pipeline_type,data_quality_flag,assumed_age_years,design_lifespan_years,hw_c_value
0,75.923744,17.627838,75.924698,17.627572,CI,0.05,119.09351,zone_5,Distribution Pipeline,complete,35,50,100
1,75.888799,17.612729,75.88884,17.614019,GI,0.05,142.8699,zone_5,Distribution Pipeline,complete,30,40,100
2,75.88884,17.614019,75.888806,17.614447,GI,0.05,47.51451,zone_5,Distribution Pipeline,complete,30,40,100
3,75.888806,17.614447,75.888766,17.615011,GI,0.05,62.57573,zone_5,Distribution Pipeline,complete,30,40,100
4,75.888766,17.615011,75.888598,17.614985,GI,0.05,18.08229,zone_5,Distribution Pipeline,complete,30,40,100
5,75.888598,17.614985,75.888193,17.614971,GI,0.05,42.96229,zone_5,Distribution Pipeline,complete,30,40,100
6,75.888193,17.614971,75.887446,17.614967,GI,0.05,79.27675,zone_5,Distribution Pipeline,complete,30,40,100
7,75.887446,17.614967,75.887214,17.614953,GI,0.05,24.718,zone_5,Distribution Pipeline,complete,30,40,100
8,75.887214,17.614953,75.886703,17.614912,GI,0.05,54.40021,zone_5,Distribution Pipeline,complete,30,40,100
9,75.886703,17.614912,75.886555,17.614889,GI,0.05,15.91178,zone_5,Distribution Pipeline,complete,30,40,100
10,75.886555,17.614889,75.886034,17.614862,GI,0.05,55.34982,zone_5,Distribution Pipeline,complete,30,40,100
11,75.886034,17.614862,75.885607,17.614841,GI,0.05,45.38374,zone_5,Distribution Pipeline,complete,30,40,100
12,75.885607,17.614841,75.884836,17.614834,GI,0.05,81.90551,zone_5,Distribution Pipeline,complete,30,40,100
13,75.884836,17.614834,75.884413,17.61483,GI,0.05,44.81892,zone_5,Distribution Pipeline,complete,30,40,100
14,75.884413,17.61483,75.884402,17.615467,GI,0.05,70.54037,zone_5,Distribution Pipeline,complete,30,40,100
15,75.884402,17.615467,75.883786,17.615487,GI,0.05,65.47318,zone_5,Distribution Pipeline,complete,30,40,100
16,75.883786,17.615487,75.883382,17.615503,GI,0.05,42.89707,zone_5,Distribution Pipeline,complete,30,40,100
17,75.883382,17.615503,75.883266,17.615507,GI,0.05,12.33308,zone_5,Distribution Pipeline,complete,30,40,100
18,75.895494,17.680412,75.895362,17.680113,GI,0.05,35.91911,zone_1,Distribution Pipeline,complete,30,40,100
19,75.895353,17.680117,75.895224,17.67984,GI,0.05,33.5886,zone_1,Distribution Pipeline,complete,30,40,100
20,75.895112,17.680219,75.894983,17.679942,GI,0.05,33.5886,zone_1,Distribution Pipeline,complete,30,40,100
