scenario,zone_id,timestep,clps
surge,zone_1,0,0.813
surge,zone_1,1,0.812
surge,zone_1,2,0.812
surge,zone_1,3,0.812
surge,zone_1,4,0.812
surge,zone_1,5,0.812
surge,zone_1,6,0.812
surge,zone_1,7,0.812
surge,zone_1,8,0.812
surge,zone_1,9,0.812
surge,zone_1,10,0.812
surge,zone_1,11,0.812
surge,zone_1,12,0.812
surge,zone_1,13,0.812
surge,zone_1,14,0.812
surge,zone_1,15,0.812
surge,zone_1,16,0.812
surge,zone_1,17,0.812
surge,zone_1,18,0.812
surge,zone_1,19,0.812
surge,zone_1,20,0.812
surge,zone_1,21,0.812
surge,zone_1,22,0.812
surge,zone_1,23,0.812
surge,zone_1,24,0.754
surge,zone_1,25,0.754
surge,zone_1,26,0.754
surge,zone_1,27,0.754
surge,zone_1,28,0.754
surge,zone_1,29,0.754
surge,zone_1,30,0.754
surge,zone_1,31,0.754
surge,zone_1,32,0.754
surge,zone_1,33,0.754
surge,zone_1,34,0.754
surge,zone_1,35,0.754
surge,zone_1,36,0.754
surge,zone_1,37,0.754
surge,zone_1,38,0.754
surge,zone_1,39,0.754
surge,zone_1,40,0.754
surge,zone_1,41,0.754
surge,zone_1,42,0.754
surge,zone_1,43,0.754
surge,zone_1,44,0.754
surge,zone_1,45,0.754
surge,zone_1,46,0.754
surge,zone_1,47,0.754
surge,zone_1,48,0.754
surge,zone_1,49,0.754
surge,zone_1,50,0.754
surge,zone_1,51,0.754
surge,zone_1,52,0.754
surge,zone_1,53,0.754
surge,zone_1,54,0.754
surge,zone_1,55,0.754
surge,zone_1,56,0.754
surge,zone_1,57,0.754
surge,zone_1,58,0.754
surge,zone_1,59,0.754
surge,zone_1,60,0.754
surge,zone_1,61,0.754
surge,zone_1,62,0.754
surge,zone_1,63,0.754
surge,zone_1,64,0.754
surge,zone_1,65,0.754
surge,zone_1,66,0.754
surge,zone_1,67,0.754
surge,zone_1,68,0.754
surge,zone_1,69,0.754
surge,zone_1,70,0.754
surge,zone_1,71,0.754
surge,zone_1,72,0.754
surge,zone_1,73,0.754
