segment_id,pss,risk_level,dominant_factor,psi_n,cff_n,adf
0,0.175,LOW,ADF,0.0,0.0,0.7
1,0.188,LOW,ADF,0.0,0.0,0.75
2,0.188,LOW,ADF,0.0,0.0,0.75
3,0.188,LOW,ADF,0.0,0.0,0.75
4,0.188,LOW,ADF,0.0,0.0,0.75
5,0.188,LOW,ADF,0.0,0.0,0.75
6,0.188,LOW,ADF,0.0,0.0,0.75
7,0.188,LOW,ADF,0.0,0.0,0.75
8,0.188,LOW,ADF,0.0,0.0,0.75
9,0.188,LOW,ADF,0.0,0.0,0.75
10,0.188,LOW,ADF,0.0,0.0,0.75
11,0.188,LOW,ADF,0.0,0.0,0.75
12,0.188,LOW,ADF,0.0,0.0,0.75
13,0.188,LOW,ADF,0.0,0.0,0.75
14,0.188,LOW,ADF,0.0,0.0,0.75
15,0.188,LOW,ADF,0.0,0.0,0.75
16,0.188,LOW,ADF,0.0,0.0,0.75
17,0.188,LOW,ADF,0.0,0.0,0.75
18,0.188,LOW,ADF,0.0,0.0,0.75
19,0.188,LOW,ADF,0.0,0.0,0.75
20,0.188,LOW,ADF,0.0,0.0,0.75
21,0.188,LOW,ADF,0.0,0.0,0.75
22,0.188,LOW,ADF,0.0,0.0,0.75
23,0.188,LOW,ADF,0.0,0.0,0.75
24,0.188,LOW,ADF,0.0,0.0,0.75
25,0.188,LOW,ADF,0.0,0.0,0.75
26,0.188,LOW,ADF,0.0,0.0,0.75
27,0.188,LOW,ADF,0.0,0.0,0.75
28,0.188,LOW,ADF,0.0,0.0,0.75
29,0.188,LOW,ADF,0.0,0.0,0.75
30,0.188,LOW,ADF,0.0,0.0,0.75
31,0.188,LOW,ADF,0.0,0.0,0.75
32,0.188,LOW,ADF,0.0,0.0,0.75
33,0.188,LOW,ADF,0.0,0.0,0.75
34,0.188,LOW,ADF,0.0,0.0,0.75
35,0.188,LOW,ADF,0.0,0.0,0.75
36,0.188,LOW,ADF,0.0,0.0,0.75
37,0.188,LOW,ADF,0.0,0.0,0.75
38,0.188,LOW,ADF,0.0,0.0,0.75
39,0.188,LOW,ADF,0.0,0.0,0.75
40,0.188,LOW,ADF,0.0,0.0,0.75
41,0.188,LOW,ADF,0.0,0.0,0.75
42,0.188,LOW,ADF,0.0,0.0,0.75
43,0.188,LOW,ADF,0.0,0.0,0.75
45,0.188,LOW,ADF,0.0,0.0,0.75
46,0.188,LOW,ADF,0.0,0.0,0.75
47,0.188,LOW,ADF,0.0,0.0,0.75
48,0.188,LOW,ADF,0.0,0.0,0.75
49,0.188,LOW,ADF,0.0,0.0,0.75
50,0.188,LOW,ADF,0.0,0.0,0.75
51,0.188,LOW,ADF,0.0,0.0,0.75
52,0.188,LOW,ADF,0.0,0.0,0.75
53,0.188,LOW,ADF,0.0,0.0,0.75
54,0.188,LOW,ADF,0.0,0.0,0.75
55,0.188,LOW,ADF,0.0,0.0,0.75
56,0.188,LOW,ADF,0.0,0.0,0.75
57,0.188,LOW,ADF,0.0,0.0,0.75
58,0.188,LOW,ADF,0.0,0.0,0.75
59,0.188,LOW,ADF,0.0,0.0,0.75
60,0.188,LOW,ADF,0.0,0.0,0.75
61,0.188,LOW,ADF,0.0,0.0,0.75
62,0.188,LOW,ADF,0.0,0.0,0.75
63,0.188,LOW,ADF,0.0,0.0,0.75
64,0.188,LOW,ADF,0.0,0.0,0.75
65,0.188,LOW,ADF,0.0,0.0,0.75
66,0.188,LOW,ADF,0.0,0.0,0.75
67,0.188,LOW,ADF,0.0,0.0,0.75
68,0.188,LOW,ADF,0.0,0.0,0.75
69,0.188,LOW,ADF,0.0,0.0,0.75
70,0.188,LOW,ADF,0.0,0.0,0.75
71,0.188,LOW,ADF,0.0,0.0,0.75
72,0.188,LOW,ADF,0.0,0.0,0.75
73,0.188,LOW,ADF,0.0,0.0,0.75
74,0.188,LOW,ADF,0.0,0.0,0.75
75,0.188,LOW,ADF,0.0,0.0,0.75
76,0.188,LOW,ADF,0.0,0.0,0.75
77,0.188,LOW,ADF,0.0,0.0,0.75
78,0.188,LOW,ADF,0.0,0.0,0.75
79,0.188,LOW,ADF,0.0,0.0,0.75
80,0.188,LOW,ADF,0.0,0.0,0.75
81,0.188,LOW,ADF,0.0,0.0,0.75
82,0.188,LOW,ADF,0.0,0.0,0.75
83,0.188,LOW,ADF,0.0,0.0,0.75
84,0.188,LOW,ADF,0.0,0.0,0.75
85,0.188,LOW,ADF,0.0,0.0,0.75
86,0.188,LOW,ADF,0.0,0.0,0.75
87,0.188,LOW,ADF,0.0,0.0,0.75
88,0.188,LOW,ADF,0.0,0.0,0.75
89,0.188,LOW,ADF,0.0,0.0,0.75
90,0.188,LOW,ADF,0.0,0.0,0.75
91,0.188,LOW,ADF,0.0,0.0,0.75
92,0.188,LOW,ADF,0.0,0.0,0.75
93,0.188,LOW,ADF,0.0,0.0,0.75
94,0.188,LOW,ADF,0.0,0.0,0.75
95,0.188,LOW,ADF,0.0,0.0,0.75
96,0.188,LOW,ADF,0.0,0.0,0.75
97,0.188,LOW,ADF,0.0,0.0,0.75
98,0.188,LOW,ADF,0.0,0.0,0.75
99,0.188,LOW,ADF,0.0,0.0,0.75
100,0.188,LOW,ADF,0.0,0.0,0.75
101,0.188,LOW,ADF,0.0,0.0,0.75
102,0.188,LOW,ADF,0.0,0.0,0.75
103,0.188,LOW,ADF,0.0,0.0,0.75
104,0.188,LOW,ADF,0.0,0.0,0.75
105,0.188,LOW,ADF,0.0,0.0,0.75
106,0.188,LOW,ADF,0.0,0.0,0.75
107,0.188,LOW,ADF,0.0,0.0,0.75
108,0.188,LOW,ADF,0.0,0.0,0.75
109,0.188,LOW,ADF,0.0,0.0,0.75
110,0.188,LOW,ADF,0.0,0.0,0.75
111,0.188,LOW,ADF,0.0,0.0,0.75
112,0.188,LOW,ADF,0.0,0.0,0.75
113,0.188,LOW,ADF,0.0,0.0,0.75
114,0.188,LOW,ADF,0.0,0.0,0.75
115,0.188,LOW,ADF,0.0,0.0,0.75
116,0.188,LOW,ADF,0.0,0.0,0.75
117,0.188,LOW,ADF,0.0,0.0,0.75
118,0.188,LOW,ADF,0.0,0.0,0.75
119,0.188,LOW,ADF,0.0,0.0,0.75
120,0.188,LOW,ADF,0.0,0.0,0.75
121,0.188,LOW,ADF,0.0,0.0,0.75
122,0.188,LOW,ADF,0.0,0.0,0.75
123,0.188,LOW,ADF,0.0,0.0,0.75
124,0.188,LOW,ADF,0.0,0.0,0.75
125,0.188,LOW,ADF,0.0,0.0,0.75
126,0.188,LOW,ADF,0.0,0.0,0.75
128,0.188,LOW,ADF,0.0,0.0,0.75
129,0.188,LOW,ADF,0.0,0.0,0.75
130,0.188,LOW,ADF,0.0,0.0,0.75
131,0.188,LOW,ADF,0.0,0.0,0.75
132,0.188,LOW,ADF,0.0,0.0,0.75
133,0.188,LOW,ADF,0.0,0.0,0.75
134,0.188,LOW,ADF,0.0,0.0,0.75
135,0.188,LOW,ADF,0.0,0.0,0.75
136,0.188,LOW,ADF,0.0,0.0,0.75
137,0.188,LOW,ADF,0.0,0.0,0.75
138,0.188,LOW,ADF,0.0,0.0,0.75
139,0.188,LOW,ADF,0.0,0.0,0.75
140,0.188,LOW,ADF,0.0,0.0,0.75
141,0.188,LOW,ADF,0.0,0.0,0.75
142,0.188,LOW,ADF,0.0,0.0,0.75
143,0.188,LOW,ADF,0.0,0.0,0.75
144,0.188,LOW,ADF,0.0,0.0,0.75
145,0.188,LOW,ADF,0.0,0.0,0.75
146,0.188,LOW,ADF,0.0,0.0,0.75
147,0.188,LOW,ADF,0.0,0.0,0.75
148,0.188,LOW,ADF,0.0,0.0,0.75
149,0.188,LOW,ADF,0.0,0.0,0.75
